,location,age,gender,decisions,meaningful,personal_identity,Feeling_good,knowledge,expensive, not_available,uncertainty,preference,intention,purchased
271,North America,22-39,Female,2,3,3,4,0,3,3,3,3,1,1
272,North America,22-39,Male,3,1,2,2,3,3,2,3,3,2,0
273,North America,39-52,Male,3,4,3,2,1,2,2,1,2,1,1
274,North America,22-39,Female,1,3,2,0,0,4,2,3,2,1,1
275,North America,22-39,Female,0,2,1,1,0,2,1,3,1,1,1
276,Europe,22-39,Female,3,3,2,1,2,2,1,3,1,1,2
277,North America,22-39,Female,3,3,2,3,1,2,3,3,1,0,0
278,Asia,Under 22,Female,4,4,4,4,4,2,1,1,3,3,2
279,North America,Under 22,Male,3,3,3,3,0,3,4,1,3,2,0
280,Africa,Under 22,Female,3,3,3,3,3,3,1,1,3,3,2
281,North America,22-39,Female,3,3,2,2,1,3,1,4,2,0,1
282,North America,22-39,Female,3,4,3,2,3,4,4,4,4,3,2
283,North America,22-39,Female,2,3,2,2,2,1,3,3,2,3,0
284,Asia,Under 22,Female,0,4,0,2,2,2,2,2,2,2,1
285,North America,22-39,Female,0,1,0,0,0,2,2,3,0,0,0
286,North America,Under 22,Female,1,2,0,1,1,3,4,3,2,1,1
287,North America,22-39,Female,2,3,3,3,3,2,2,2,3,3,2
288,North America,22-39,Female,3,3,3,4,2,3,3,2,3,2,2
289,North America,22-39,Female,3,3,2,2,1,3,2,2,2,2,1
290,North America,22-39,Female,4,4,4,4,3,1,1,3,3,3,2
291,North America,52-70,Female,4,4,4,4,3,3,2,3,3,3,2
292,Europe,Under 22,Female,2,3,2,2,0,3,2,4,2,0,1
293,North America,22-39,Male,4,4,3,3,2,3,2,2,0,0,1
294,North America,22-39,Female,0,0,0,0,0,2,2,3,0,0,1
295,North America,22-39,Female,2,4,3,2,0,2,2,4,1,0,1
296,North America,22-39,Female,1,3,2,2,0,4,2,3,1,0,0
297,North America,22-39,Female,4,4,3,4,3,3,2,3,3,2,1
298,North America,Under 22,Female,4,4,4,4,3,4,2,2,3,3,2
299,North America,22-39,Female,2,3,2,2,2,2,1,3,2,2,2
300,North America,Under 22,Female,3,3,3,3,1,3,2,3,3,3,1
301,North America,Under 22,Female,3,3,3,3,0,2,2,1,1,1,1
302,North America,22-39,Female,3,3,2,3,1,2,2,2,1,1,1
303,North America,Under 22,Female,1,1,2,2,1,4,3,3,2,1,1
304,North America,39-52,Female,2,2,1,1,2,3,3,3,1,1,2
305,North America,22-39,Female,3,1,1,3,1,4,4,1,1,0,1
306,North America,22-39,Female,2,3,2,2,1,2,1,2,2,1,1
307,North America,Under 22,Male,2,3,3,3,2,2,1,1,3,1,2
308,South America,Under 22,Female,3,3,4,2,1,3,4,3,3,1,1
309,South America,Under 22,Male,3,3,3,3,1,2,3,2,3,2,2
310,North America,22-39,Female,3,1,1,2,0,3,4,3,0,0,1
311,North America,22-39,Female,1,4,3,2,2,4,3,3,2,1,2
312,North America,22-39,Female,3,2,3,2,0,3,3,3,2,1,1
313,North America,Under 22,Male,2,3,3,2,1,2,2,2,2,2,1
314,North America,Under 22,Female,3,3,3,3,1,3,2,3,2,2,2
315,North America,Under 22,Female,2,3,3,3,1,3,3,4,2,1,1
316,North America,Under 22,Female,1,2,1,0,0,4,4,3,0,0,0
317,North America,22-39,Female,4,3,3,3,2,3,1,2,3,3,2
318,North America,39-52,Female,4,4,4,4,3,2,2,3,3,2,0
319,North America,22-39,Female,3,3,1,1,1,4,1,4,2,1,1
320,North America,Under 22,Female,2,3,2,3,1,2,2,4,3,2,1
321,North America,Under 22,Female,3,3,3,3,2,3,3,3,3,2,1
322,North America,Under 22,Female,1,2,2,2,1,2,2,3,2,0,1
323,North America,22-39,Female,2,2,3,2,2,3,0,3,2,2,1
324,North America,39-52,Female,1,3,2,3,0,2,2,4,1,1,1
325,North America,Under 22,Female,3,4,3,3,1,3,1,2,3,1,1
326,Europe,39-52,Female,3,4,4,2,1,1,3,3,2,2,2
327,North America,22-39,Female,3,3,3,3,1,2,2,3,0,0,1
328,North America,22-39,Female,3,4,4,3,1,3,1,3,2,2,2
329,North America,22-39,Female,2,2,2,3,0,3,1,4,2,2,2
330,North America,22-39,Male,2,3,3,3,2,3,2,2,3,2,1
